Engine Fuel Type,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,MSRP,Popularity,,Make,Year
premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,200,6,4,22,16,31305,1624,,Cadillac,2001
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,Performance",Midsize,4dr SUV,420,6,4,24,17,74100,1715,,Porsche,2015
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,Performance",Midsize,4dr SUV,520,8,4,21,14,113600,1715,,Porsche,2015
diesel,AUTOMATIC,all wheel drive,"Crossover,Luxury,Diesel",Midsize,4dr SUV,240,6,4,29,20,61700,1715,,Porsche,2015
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,440,6,4,23,16,95500,1715,,Porsche,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,Performance",Midsize,4dr SUV,420,6,4,24,17,74800,1715,,Porsche,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,Performance",Midsize,4dr SUV,520,8,4,21,14,114700,1715,,Porsche,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,300,6,4,24,19,58300,1715,,Porsche,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,570,8,4,21,14,157300,1715,,Porsche,2016
diesel,AUTOMATIC,all wheel drive,"Crossover,Luxury,Diesel",Midsize,4dr SUV,240,6,4,29,20,62300,1715,,Porsche,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,Performance",Midsize,4dr SUV,520,8,4,21,14,116500,1715,,Porsche,2017
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,300,6,4,24,18,59600,1715,,Porsche,2017
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,440,6,4,23,16,97200,1715,,Porsche,2017
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,570,8,4,21,14,159600,1715,,Porsche,2017
premium unleaded (required),AUTOMATIC,all wheel drive,"Crossover,Luxury,Performance",Midsize,4dr SUV,420,6,4,24,17,76200,1715,,Porsche,2017
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,295,6,2,26,18,58900,1715,,Porsche,2006
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,275,6,2,30,20,52600,1715,,Porsche,2014
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,325,6,2,28,20,63800,1715,,Porsche,2014
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,325,6,2,28,20,63800,1715,,Porsche,2015
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,340,6,2,26,19,75200,1715,,Porsche,2015
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,275,6,2,30,20,52600,1715,,Porsche,2015
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,325,6,2,28,20,64100,1715,,Porsche,2016
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,340,6,2,26,19,75200,1715,,Porsche,2016
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,275,6,2,30,20,52600,1715,,Porsche,2016
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,34275,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,34095,873,,Volkswagen,2015
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,32995,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,all wheel drive,Performance,Midsize,Sedan,280,6,4,25,17,43575,873,,Volkswagen,2015
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,32995,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,38085,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,35375,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,35375,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,38085,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,34095,873,,Volkswagen,2015
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,34275,873,,Volkswagen,2015
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,32670,873,,Volkswagen,2016
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,34655,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,35755,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,all wheel drive,Performance,Midsize,Sedan,280,6,4,25,17,44355,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,34475,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,34475,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2016
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,31570,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,32670,873,,Volkswagen,2016
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,34655,873,,Volkswagen,2016
premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,32,21,31570,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,35755,873,,Volkswagen,2016
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2017
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2017
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,34475,873,,Volkswagen,2017
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2017
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,37820,873,,Volkswagen,2017
premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,200,4,4,31,22,34475,873,,Volkswagen,2017
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,33,25,18140,2031,,Toyota,2003
premium unleaded (required),MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,29,20,22005,2031,,Toyota,2003
premium unleaded (required),AUTOMATIC,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,27,20,22705,2031,,Toyota,2003
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,30,23,17340,2031,,Toyota,2003
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,30,23,19535,2031,,Toyota,2004
premium unleaded (required),AUTOMATIC,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,28,22,22935,2031,,Toyota,2004
premium unleaded (required),AUTOMATIC,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,28,22,24810,2031,,Toyota,2004
premium unleaded (required),MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,30,21,22235,2031,,Toyota,2004
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,33,25,18370,2031,,Toyota,2004
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,30,23,17570,2031,,Toyota,2004
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,33,25,20335,2031,,Toyota,2004
premium unleaded (required),MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,30,21,24110,2031,,Toyota,2004
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,30,23,17670,2031,,Toyota,2005
premium unleaded (required),MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,30,21,22335,2031,,Toyota,2005
premium unleaded (required),AUTOMATIC,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,180,4,2,28,22,23035,2031,,Toyota,2005
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,140,4,2,33,25,18470,2031,,Toyota,2005
regular unleaded,MANUAL,rear wheel drive,Performance,Large,Coupe,375,8,2,23,15,31995,1851,,Dodge,2015
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,42595,1851,,Dodge,2015
regular unleaded,MANUAL,rear wheel drive,Performance,Large,Coupe,375,8,2,23,15,35795,1851,,Dodge,2015
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,37995,1851,,Dodge,2015
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Coupe,305,6,2,30,19,29995,1851,,Dodge,2015
regular unleaded,MANUAL,rear wheel drive,Performance,Large,Coupe,375,8,2,23,15,38795,1851,,Dodge,2015
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,707,8,2,22,13,58295,1851,,Dodge,2015
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,45695,1851,,Dodge,2015
regular unleaded,MANUAL,rear wheel drive,Performance,Large,Coupe,375,8,2,23,15,34995,1851,,Dodge,2015
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Coupe,305,6,2,30,19,26995,1851,,Dodge,2015
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,31995,1851,,Dodge,2016
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,49195,1851,,Dodge,2016
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Coupe,305,6,2,30,19,29995,1851,,Dodge,2016
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,37995,1851,,Dodge,2016
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,34995,1851,,Dodge,2016
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,38995,1851,,Dodge,2016
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Coupe,305,6,2,30,19,26995,1851,,Dodge,2016
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,707,8,2,21,13,65945,1851,,Dodge,2016
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,42795,1851,,Dodge,2016
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,35995,1851,,Dodge,2016
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,35890,1851,,Dodge,2017
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,37995,1851,,Dodge,2017
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,49195,1851,,Dodge,2017
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,36890,1851,,Dodge,2017
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,707,8,2,21,13,62495,1851,,Dodge,2017
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,32890,1851,,Dodge,2017
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Coupe,305,6,2,30,19,26995,1851,,Dodge,2017
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,39890,1851,,Dodge,2017
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,42795,1851,,Dodge,2017
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Coupe,305,6,2,30,19,29995,1851,,Dodge,2017
premium unleaded (recommended),MANUAL,rear wheel drive,"Factory Tuner,High-Performance",Large,Coupe,485,8,2,23,14,43995,1851,,Dodge,2017
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,37390,1851,,Dodge,2017
regular unleaded,MANUAL,rear wheel drive,High-Performance,Large,Coupe,375,8,2,23,15,40140,1851,,Dodge,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,High-Performance",Large,Sedan,485,8,4,25,15,47995,1851,,Dodge,2015
premium unleaded (recommended),AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,485,8,4,25,15,39995,1851,,Dodge,2015
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,High-Performance",Large,Sedan,707,8,4,22,13,62295,1851,,Dodge,2015
regular unleaded,AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,370,8,4,25,16,33595,1851,,Dodge,2015
regular unleaded,AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,370,8,4,25,16,36595,1851,,Dodge,2015
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,High-Performance",Large,Sedan,707,8,4,22,13,65945,1851,,Dodge,2016
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,292,6,4,31,19,29995,1851,,Dodge,2016
premium unleaded (recommended),AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,485,8,4,25,15,39995,1851,,Dodge,2016
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,High-Performance",Large,Sedan,485,8,4,25,15,50995,1851,,Dodge,2016
regular unleaded,AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,370,8,4,25,16,36895,1851,,Dodge,2016
regular unleaded,AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,370,8,4,25,16,33895,1851,,Dodge,2016
regular unleaded,AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,370,8,4,25,16,34790,1851,,Dodge,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,High-Performance",Large,Sedan,485,8,4,25,15,51145,1851,,Dodge,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,High-Performance",Large,Sedan,707,8,4,22,13,65945,1851,,Dodge,2017
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,292,6,4,30,19,29995,1851,,Dodge,2017
regular unleaded,AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,370,8,4,25,16,39890,1851,,Dodge,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,485,8,4,25,15,44995,1851,,Dodge,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,High-Performance,Large,Sedan,485,8,4,25,15,39995,1851,,Dodge,2017
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,62,4,2,44,36,2000,2202,,Honda,1990
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,108,4,2,30,24,2000,2202,,Honda,1990
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,92,4,2,32,27,2000,2202,,Honda,1990
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,108,4,2,30,24,2000,2202,,Honda,1991
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,92,4,2,33,27,2000,2202,,Honda,1991
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,62,4,2,44,36,2000,2202,,Honda,1991
regular unleaded,MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Coupe,160,4,2,27,23,2033,2202,,Honda,1995
regular unleaded,MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Coupe,160,4,2,27,23,2213,2202,,Honda,1996
regular unleaded,MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Coupe,160,4,2,27,23,2410,2202,,Honda,1997
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Sedan,205,4,4,31,22,24590,2202,,Honda,2015
regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Sedan,110,4,4,47,44,27435,2202,,Honda,2015
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Coupe,205,4,2,31,22,23090,2202,,Honda,2015
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Coupe,205,4,2,31,22,22890,2202,,Honda,2015
regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Sedan,110,4,4,47,44,25935,2202,,Honda,2015
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Coupe,205,4,2,31,22,24390,2202,,Honda,2015
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Sedan,205,4,4,31,22,23290,2202,,Honda,2015
regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Sedan,110,4,4,47,44,26235,2202,,Honda,2015
regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Sedan,110,4,4,47,44,24735,2202,,Honda,2015
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Coupe,205,4,2,31,22,24590,2202,,Honda,2015
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Performance",Compact,Sedan,205,4,4,31,22,23090,2202,,Honda,2015
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,174,4,4,39,30,19700,2202,,Honda,2017
premium unleaded (recommended),MANUAL,front wheel drive,"Hatchback,Performance",Compact,4dr Hatchback,180,4,4,39,30,21300,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,"Hatchback,Performance",Compact,4dr Hatchback,174,4,4,40,31,25300,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,"Hatchback,Performance",Compact,4dr Hatchback,174,4,4,40,31,22800,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,174,4,4,40,31,20500,2202,,Honda,2017
premium unleaded (recommended),AUTOMATIC,front wheel drive,"Hatchback,Performance",Compact,4dr Hatchback,180,4,4,36,30,22100,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,174,4,4,42,32,26600,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Compact,Coupe,174,4,2,40,31,26225,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,174,4,4,42,32,22300,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Compact,Coupe,174,4,2,40,31,23525,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,174,4,4,42,32,23800,2202,,Honda,2017
regular unleaded,MANUAL,front wheel drive,Performance,Midsize,Sedan,174,4,4,42,31,21500,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Compact,Coupe,174,4,2,40,31,22400,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,174,4,4,42,32,23300,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,174,4,4,42,32,24800,2202,,Honda,2017
regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,174,4,4,42,32,24800,2202,,Honda,2017
regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,174,4,2,41,30,21600,2202,,Honda,2017
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Large,Coupe,621,12,2,18,12,211000,617,,Mercedes-Benz,2012
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Large,Coupe,510,12,2,18,12,158700,617,,Mercedes-Benz,2012
premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,High-Performance",Large,Coupe,429,8,2,24,15,114100,617,,Mercedes-Benz,2012
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Large,Coupe,536,8,2,22,15,151500,617,,Mercedes-Benz,2012
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Large,Coupe,621,12,2,18,12,213200,617,,Mercedes-Benz,2013
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Large,Coupe,536,8,2,22,15,153000,617,,Mercedes-Benz,2013
premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,High-Performance",Large,Coupe,429,8,2,24,15,115300,617,,Mercedes-Benz,2013
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Large,Coupe,510,12,2,18,12,160300,617,,Mercedes-Benz,2013
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Large,Coupe,621,12,2,18,12,215500,617,,Mercedes-Benz,2014
premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,High-Performance",Large,Coupe,429,8,2,24,15,116600,617,,Mercedes-Benz,2014
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Large,Coupe,510,12,2,18,12,162000,617,,Mercedes-Benz,2014
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Large,Coupe,536,8,2,22,15,154600,617,,Mercedes-Benz,2014
premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,208,4,4,38,26,31500,617,,Mercedes-Benz,2015
premium unleaded (required),AUTOMATED_MANUAL,all wheel drive,Luxury,Midsize,Sedan,208,4,4,32,24,33500,617,,Mercedes-Benz,2015
premium unleaded (required),AUTOMATED_MANUAL,all wheel drive,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,355,4,4,31,23,48500,617,,Mercedes-Benz,2015
premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,208,4,4,38,26,32050,617,,Mercedes-Benz,2016
premium unleaded (required),AUTOMATED_MANUAL,all wheel drive,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,375,4,4,31,23,49500,617,,Mercedes-Benz,2016
premium unleaded (required),AUTOMATED_MANUAL,all wheel drive,Luxury,Midsize,Sedan,208,4,4,33,24,34050,617,,Mercedes-Benz,2016
premium unleaded (required),AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,208,4,4,38,26,32400,617,,Mercedes-Benz,2017
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,208,4,4,32,23,34400,617,,Mercedes-Benz,2017
premium unleaded (required),AUTOMATIC,all wheel drive,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,375,4,4,30,23,49950,617,,Mercedes-Benz,2017
premium unleaded (required),AUTOMATIC,front wheel drive,Luxury,Midsize,Coupe,225,6,2,27,17,29980,204,,Acura,2001
premium unleaded (required),AUTOMATIC,front wheel drive,Luxury,Midsize,Coupe,225,6,2,27,17,27980,204,,Acura,2001
premium unleaded (required),AUTOMATIC,front wheel drive,Luxury,Midsize,Coupe,225,6,2,27,17,28030,204,,Acura,2002
premium unleaded (required),AUTOMATIC,front wheel drive,Luxury,Midsize,Coupe,225,6,2,27,17,30030,204,,Acura,2002
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Luxury,Performance",Midsize,Coupe,260,6,2,26,17,32700,204,,Acura,2003
premium unleaded (required),AUTOMATIC,front wheel drive,"Factory Tuner,Luxury,Performance",Midsize,Coupe,260,6,2,27,17,30550,204,,Acura,2003
premium unleaded (required),AUTOMATIC,front wheel drive,Luxury,Midsize,Coupe,225,6,2,27,17,30350,204,,Acura,2003
premium unleaded (required),AUTOMATIC,front wheel drive,Luxury,Midsize,Coupe,225,6,2,27,17,28200,204,,Acura,2003
premium unleaded (required),MANUAL,front wheel drive,"Factory Tuner,Luxury,Performance",Midsize,Coupe,260,6,2,26,17,30550,204,,Acura,2003
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Convertible,268,6,2,25,17,54200,617,,Mercedes-Benz,2007
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,475,8,2,18,12,89200,617,,Mercedes-Benz,2007
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Coupe,268,6,2,25,17,46200,617,,Mercedes-Benz,2007
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Compact,Convertible,382,8,2,22,15,62900,617,,Mercedes-Benz,2007
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,382,8,2,22,15,54900,617,,Mercedes-Benz,2007
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Coupe,268,6,2,25,17,46450,617,,Mercedes-Benz,2008
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,382,8,2,22,15,55150,617,,Mercedes-Benz,2008
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,500,8,2,19,12,135000,617,,Mercedes-Benz,2008
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Compact,Convertible,382,8,2,21,15,63200,617,,Mercedes-Benz,2008
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,475,8,2,18,12,89500,617,,Mercedes-Benz,2008
